timestamp_ns,pos_x,pos_y,vel_n,vel_e,distance_traveled,yaw_imu_deg,q_pos,r_fixed
1776192162477923474,19.251746045392558,4.514340958109834,1.4811389860690587,0.06823531391866287,3692.40043094244,352.56790926426555,0.01,0.0001
1776192162577196632,19.399007469808453,4.520909936275405,1.4861858946861226,0.06412991634548715,3719.685480407424,352.22635161238924,0.01,0.0001
1776192162677752987,19.548840348277448,4.527128512846818,1.493524749189347,0.05953825975130845,3747.4338061548005,352.2774297852134,0.01,0.0001
1776192162776186074,19.696176151806046,4.532818253604601,1.5000880926538982,0.05606759158511338,3774.692649629591,351.7813017757177,0.01,0.0001
1776192162879325954,19.851321402369297,4.538272878086771,1.5083111257327009,0.049702246480694795,3803.360994038219,351.72958721671773,0.01,0.0001
1776192162977641079,20.000077943648208,4.542854352759275,1.5176988500171549,0.04349424722272694,3830.7896995635756,351.09766975889596,0.01,0.0001
1776192163079879467,20.15565149111316,4.547125517110809,1.5256010851462893,0.040057451674048124,3859.416906768718,351.8462533705558,0.01,0.0001
1776192163178218991,20.306049632514334,4.550780764179415,1.533085346976805,0.0342802662701038,3887.0532101627805,352.56725882861167,0.01,0.0001
1776192163280573572,20.463336940868786,4.554041223658539,1.5404001337106459,0.029431008175970677,3915.9210722472117,352.523875470323,0.01,0.0001
1776192163378889726,20.615091034083612,4.556798254940305,1.5468107999338345,0.026656685652615152,3943.750123564382,352.523875470323,0.01,0.0001
1776192163477129343,20.767328564105185,4.559173723269627,1.5523008846818107,0.021700914833888026,3971.6589681587566,352.4823472133405,0.01,0.0001
1776192163579835867,20.927104805036148,4.561139609386061,1.5592780158740545,0.016583937314022423,4000.937594017422,351.7746138506251,0.01,0.0001
1776192163677284839,21.07940319018488,4.562609872994133,1.5662680913397966,0.013589571697915637,4028.820610392622,351.6432952642348,0.01,0.0001
1776192163779860123,21.240430291962618,4.563813683207104,1.5733988551827363,0.009882024659614802,4058.273592745897,351.9521613542428,0.01,0.0001
1776192163877387540,21.39413798828523,4.564579985199952,1.5788625611870355,0.005833416161716324,4086.3747633747803,351.9106082697975,0.01,0.0001
1776192163979900138,21.556268339034546,4.5649110482118225,1.5843059678908231,0.0006256341977634106,4116.017797625087,351.9106082697975,0.01,0.0001
