timestamp_ns,pos_x,pos_y,vel_n,vel_e,last_gps_pos_x,last_gps_pos_y,distance_traveled,relative_distance,yaw_imu_deg,euler_x,q_pos,q_vel,q_ori,r_fixed,r_float,error_percent
1776451738331886996,-0.3475548787951265,0.07846965625901695,-0.49763018222142624,0.04971295106065439,-0.1475226101714845,0.47125251046783795,1.7065607216793475,8.795814505742387,1.162053575248479,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738430311608,-0.39823288140864777,0.08338161284033563,-0.5321688429630661,0.05010014018854435,-0.1475226101714845,0.47125251046783795,1.7065607216793475,10.157934477139753,1.50043941034117,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738532858293,-0.45463545643743813,0.08863027648453105,-0.5681487564063008,0.052292294517325984,-0.1475226101714845,0.47125251046783795,1.7065607216793475,11.678109182140716,1.148019570429275,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738631879515,-0.51254325206137,0.09392373714964775,-0.6012054532742582,0.054600576223803085,-0.1475226101714845,0.47125251046783795,1.7065607216793475,13.244867043093326,1.1628094913768903,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738733754255,-0.5755576077508704,0.09951700108941304,-0.6357845495300356,0.05519681043246091,-0.1475226101714845,0.47125251046783795,1.7065607216793475,14.957084950136524,1.1738088422825268,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738832474792,-0.640063236109171,0.10506613343222965,-0.6711274036796425,0.057231012896171524,-0.1475226101714845,0.47125251046783795,1.7065607216793475,16.71324923618871,1.1738088422825266,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738934953292,-0.7106012959105014,0.11099766249762076,-0.7054189750042676,0.05852245236810124,-0.1475226101714845,0.47125251046783795,1.7065607216793475,18.637758608023905,1.526322957432928,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739191069014,-0.902452397736694,0.12624307547777142,-0.7928215636235262,0.0605349600604036,-0.1475226101714845,0.47125251046783795,1.7065607216793475,23.899016023442798,2.3777329841283987,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739233416385,-0.8318405078510249,0.23532496011972268,-0.7889973654266857,0.10610026619060546,-0.1279532847253255,0.6233891478175928,1.7065607216793475,19.840186913576005,3.481967248798923,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739243353755,-0.8397016564821714,0.23638028780466847,-0.791989287776033,0.10614085313437895,-0.1279532847253255,0.6233891478175928,1.905777864227361,20.039399204943766,3.439042471820677,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739332898607,-0.9117669941178151,0.24582804993112933,-0.8174742113226751,0.10485973035813621,-0.1279532847253255,0.6233891478175928,1.905777864227361,21.876187481643697,3.825465374459517,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739436556755,-0.9980777459130813,0.2566682038250226,-0.8480455857243069,0.10432036062451894,-0.1279532847253255,0.6233891478175928,1.905777864227361,24.098451578432154,3.3113198237313783,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739533635107,-1.081726361200436,0.26672309125806587,-0.8759012773216995,0.10290472718988819,-0.1279532847253255,0.6233891478175928,1.905777864227361,26.27307078207944,3.792441971017422,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739636154718,-1.1730499872905347,0.27722945750221534,-0.9050510990729586,0.1019857127859653,-0.1279532847253255,0.6233891478175928,1.905777864227361,28.66991609583206,4.312499747503734,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739733361292,-1.262348547669626,0.2871315963389638,-0.9323016789461706,0.10175466357390782,-0.1279532847253255,0.6233891478175928,1.905777864227361,31.035178403066265,4.734541594260905,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451739835667625,-1.3591946148947178,0.2975408030142354,-0.9609017365567389,0.101730580535149,-0.1279532847253255,0.6233891478175928,1.905777864227361,33.6229342980097,4.6881982316016,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
